abstract,output
 نمایندگان مجلس موادی از طرح اصلاح قانون تشکیلات وآیین دادرسی دیوان عدالت اداری را مصوب کردند. ,"[[('[CLS]', 'O'), ('نمایندگان', 'O'), ('مجلس', 'O'), ('موادی', 'O'), ('از', 'O'), ('طرح', 'O'), ('اصلاح', 'O'), ('قانون', 'O'), ('تشکیلات', 'O'), ('وای', 'O'), ('##ین', 'O'), ('دادرسی', 'O'), ('دیوان', 'B-organization'), ('عدالت', 'I-organization'), ('اداری', 'I-organization'), ('را', 'O'), ('مصوب', 'O'), ('کردند', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 معاون اول رئیس جمهور دستور داد تا شورای‌عالی مناطق آزاد تجاری ـ صنعتی، مشکلات زیرساختی و اقامتی جزایر ایرانی از جمله کیش که پذیرای گردشگران خارجی در دوران برگزاری جام جهانی هستند را هر چه سریع‌تر برطرف کند. ,"[[('[CLS]', 'O'), ('معاون', 'O'), ('اول', 'O'), ('ريیس', 'O'), ('جمهور', 'O'), ('دستور', 'O'), ('داد', 'O'), ('تا', 'B-organization'), ('شورایعالی', 'I-organization'), ('مناطق', 'I-organization'), ('ازاد', 'I-organization'), ('تجاری', 'I-organization'), ('[UNK]', 'O'), ('صنعتی', 'O'), ('،', 'O'), ('مشکلات', 'O'), ('زیرساختی', 'O'), ('و', 'O'), ('اقامتی', 'O'), ('جزایر', 'O'), ('ایرانی', 'O'), ('از', 'B-location'), ('جمله', 'O'), ('کیش', 'O'), ('که', 'O'), ('پذیرای', 'O'), ('گردشگران', 'O'), ('خارجی', 'O'), ('در', 'O'), ('دوران', 'O'), ('برگزاری', 'O'), ('جام', 'O'), ('جهانی', 'O'), ('هستند', 'O'), ('را', 'O'), ('هر', 'O'), ('چه', 'O'), ('سریعتر', 'O'), ('برطرف', 'O'), ('کند', 'O')]]"
 نایب رئیس کمیسیون اصل نود مجلس از جلسه فوق‌العاده این کمیسیون برای بررسی وضعیت پروژه‌های فاقد مجوز زیست محیطی خبر داد. ,"[[('[CLS]', 'O'), ('نایب', 'O'), ('ريیس', 'B-organization'), ('کمیسیون', 'I-organization'), ('اصل', 'I-organization'), ('نود', 'I-organization'), ('مجلس', 'O'), ('از', 'O'), ('جلسه', 'O'), ('فوقالعاده', 'O'), ('این', 'O'), ('کمیسیون', 'O'), ('برای', 'O'), ('بررسی', 'O'), ('وضعیت', 'O'), ('پروژههای', 'O'), ('فاقد', 'O'), ('مجوز', 'O'), ('زیست', 'O'), ('محیطی', 'O'), ('خبر', 'O'), ('داد', 'O')]]"
 رئیس نهاد نمایندگی مقام معظم رهبری در دانشگاههای کشور از حضور رئیس جمهور در خوابگاه دانشجویان قدردانی کرد. ,"[[('[CLS]', 'O'), ('ريیس', 'O'), ('نهاد', 'B-organization'), ('نمایندگی', 'I-organization'), ('مقام', 'I-organization'), ('معظم', 'I-organization'), ('رهبری', 'I-organization'), ('در', 'I-organization'), ('دانشگاههای', 'I-organization'), ('کشور', 'I-organization'), ('از', 'O'), ('حضور', 'O'), ('ريیس', 'O'), ('جمهور', 'O'), ('در', 'O'), ('خوابگاه', 'O'), ('دانشجویان', 'O'), ('قدردانی', 'O'), ('کرد', 'O'), ('.', 'O')]]"
 نمایندگان مردم در مجلس مقرر کردند تا سازمان ثبت اسناد و املاک کشور متولی به روز رسانی پایگاه اطلاعات مکان اقامت اشخاص حقوقی شود. ,"[[('[CLS]', 'O'), ('نمایندگان', 'O'), ('مردم', 'O'), ('در', 'O'), ('مجلس', 'O'), ('مقرر', 'O'), ('کردند', 'O'), ('تا', 'O'), ('سازمان', 'B-organization'), ('ثبت', 'I-organization'), ('اسناد', 'I-organization'), ('و', 'I-organization'), ('املاک', 'I-organization'), ('کشور', 'I-organization'), ('متولی', 'O'), ('به', 'O'), ('روز', 'O'), ('رسانی', 'O'), ('پایگاه', 'O'), ('اطلاعات', 'O'), ('مکان', 'O'), ('اقامت', 'O'), ('اشخاص', 'O'), ('حقوقی', 'O'), ('شود', 'O'), ('.', 'O')]]"
 نماینده ایذه در مجلس با بیان اینکه محدود کردن مجلس در قانونگذاری کار شایسته‌ای نیست، گفت: حذف مجوز واردات خودرو از قانون بودجه ۱۴۰۱ سوال برانگیز است، رئیس کمیسیون تلفیق باید شفاف سازی کند. ,"[[('[CLS]', 'O'), ('نماینده', 'O'), ('ایذه', 'B-location'), ('در', 'O'), ('مجلس', 'O'), ('با', 'O'), ('بیان', 'O'), ('اینکه', 'O'), ('محدود', 'O'), ('کردن', 'O'), ('مجلس', 'O'), ('در', 'O'), ('قانونگذاری', 'O'), ('کار', 'O'), ('شایستهای', 'O'), ('نیست', 'O'), ('،', 'O'), ('گفت', 'O'), (':', 'O'), ('حذف', 'O'), ('مجوز', 'O'), ('واردات', 'O'), ('خودرو', 'O'), ('از', 'O'), ('قانون', 'O'), ('بودجه', 'O'), ('۱۴۰۱', 'B-date'), ('سوال', 'O'), ('برانگیز', 'O'), ('است', 'O'), ('،', 'O'), ('ريیس', 'O'), ('کمیسیون', 'B-organization'), ('تلفیق', 'I-organization'), ('باید', 'O'), ('شفاف', 'O'), ('سازی', 'O'), ('کند', 'O'), ('.', 'O')]]"
 رئیس مجلس شورای اسلامی با تأکید بر اینکه مسئولان باید اتفاق حرم رضوی را به‌جد پیگیری و آن را ریشه‌یابی کنند، گفت: پیگیری جدی آغاز شده است و امیدوارم که با جدیت بیشتری پیش رود. ,"[[('[CLS]', 'O'), ('ريیس', 'O'), ('مجلس', 'B-organization'), ('شورای', 'I-organization'), ('اسلامی', 'I-organization'), ('با', 'O'), ('تاکید', 'O'), ('بر', 'O'), ('اینکه', 'O'), ('مسيولان', 'O'), ('باید', 'O'), ('اتفاق', 'O'), ('حرم', 'O'), ('رضوی', 'O'), ('را', 'O'), ('بهجد', 'O'), ('پیگیری', 'O'), ('و', 'O'), ('ان', 'O'), ('را', 'O'), ('ریشهیابی', 'O'), ('کنند', 'O'), ('،', 'O'), ('گفت', 'O'), (':', 'O'), ('پیگیری', 'O'), ('جدی', 'O'), ('اغاز', 'O'), ('شده', 'O'), ('است', 'O'), ('و', 'O'), ('امیدوارم', 'O'), ('که', 'O'), ('با', 'O'), ('جدیت', 'O'), ('بیشتری', 'O'), ('پیش', 'O'), ('رود', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 رئیس جمهور، وزارت اطلاعات را مکلف کرد با همکاری همه نهادهای ذی‌صلاح به سرعت تمامی عوامل مؤثر حادثه روز گذشته مشهد را شناسایی و تحت تعقیب قرار داده و نتیجه را به اطلاع عموم مردم برسانند. ,"[[('[CLS]', 'O'), ('ريیس', 'O'), ('جمهور', 'O'), ('،', 'B-organization'), ('وزارت', 'I-organization'), ('اطلاعات', 'O'), ('را', 'O'), ('مکلف', 'O'), ('کرد', 'O'), ('با', 'O'), ('همکاری', 'O'), ('همه', 'O'), ('نهادهای', 'O'), ('ذیصلاح', 'O'), ('به', 'O'), ('سرعت', 'O'), ('تمامی', 'O'), ('عوامل', 'O'), ('موثر', 'O'), ('حادثه', 'O'), ('روز', 'O'), ('گذشته', 'B-location'), ('مشهد', 'O'), ('را', 'O'), ('شناسایی', 'O'), ('و', 'O'), ('تحت', 'O'), ('تعقیب', 'O'), ('قرار', 'O'), ('داده', 'O'), ('و', 'O'), ('نتیجه', 'O'), ('را', 'O'), ('به', 'O'), ('اطلاع', 'O'), ('عموم', 'O'), ('مردم', 'O'), ('برسانند', 'O'), ('.', 'O')]]"
 به‌رغم گذشت بیش از ۲۲ ماه از آغازبه‌کار مجلس شورای اسلامی یازدهم، طرح شفافیت آرای نمایندگان که تحقق آن به‌عنوان یکی از شعارهای اصلی نمایندگان این مجلس مطرح بود، همچنان بلاتکلیف باقی مانده است. ,"[[('[CLS]', 'O'), ('بهرغم', 'O'), ('گذشت', 'O'), ('بیش', 'O'), ('از', 'O'), ('۲۲', 'O'), ('ماه', 'O'), ('از', 'O'), ('اغاز', 'O'), ('##بهکار', 'O'), ('مجلس', 'B-organization'), ('شورای', 'I-organization'), ('اسلامی', 'I-organization'), ('یازدهم', 'I-organization'), ('،', 'O'), ('طرح', 'O'), ('شفافیت', 'O'), ('ارای', 'O'), ('نمایندگان', 'O'), ('که', 'O'), ('تحقق', 'O'), ('ان', 'O'), ('بهعنوان', 'O'), ('یکی', 'O'), ('از', 'O'), ('شعارهای', 'O'), ('اصلی', 'O'), ('نمایندگان', 'O'), ('این', 'O'), ('مجلس', 'O'), ('مطرح', 'O'), ('بود', 'O'), ('،', 'O'), ('همچنان', 'O'), ('بلاتکلیف', 'O'), ('باقی', 'O'), ('مانده', 'O'), ('است', 'O'), ('.', 'O')]]"
 رئیس کمیسیون ویژه جهش تولید مجلس شورای اسلامی از ارائه گزارش نظارتی کمیسیون متبوعش درباره عملکرد دستگاه‌ها و نهادهای مختلف درخصوص صدور مجوز کسب‌وکارها به صحن مجلس ظرف هفته آینده خبر داد. ,"[[('[CLS]', 'O'), ('ريیس', 'O'), ('کمیسیون', 'B-organization'), ('ویژه', 'I-organization'), ('جهش', 'I-organization'), ('تولید', 'I-organization'), ('مجلس', 'I-organization'), ('شورای', 'I-organization'), ('اسلامی', 'I-organization'), ('از', 'O'), ('ارايه', 'O'), ('گزارش', 'O'), ('نظارتی', 'O'), ('کمیسیون', 'O'), ('متبوعش', 'O'), ('درباره', 'O'), ('عملکرد', 'O'), ('دستگاهها', 'O'), ('و', 'O'), ('نهادهای', 'O'), ('مختلف', 'O'), ('درخصوص', 'O'), ('صدور', 'O'), ('مجوز', 'O'), ('کسبوکارها', 'O'), ('به', 'O'), ('صحن', 'O'), ('مجلس', 'O'), ('ظرف', 'O'), ('هفته', 'B-date'), ('اینده', 'I-date'), ('خبر', 'O'), ('داد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 دبیرکل عهدالله عراق گفت: دشمن با ایجاد تردید درصدد است تا جوانان محور مقاومت را از جمهوری اسلامی که ستون خیمه مقاومت است جدا کنند تا با کنار رفت این ستون، تمام محور مقاومت فرو بریزد. ,"[[('[CLS]', 'O'), ('دبیرکل', 'O'), ('عهد', 'B-organization'), ('##الله', 'I-organization'), ('عراق', 'I-organization'), ('گفت', 'O'), (':', 'O'), ('دشمن', 'O'), ('با', 'O'), ('ایجاد', 'O'), ('تردید', 'O'), ('درصدد', 'O'), ('است', 'O'), ('تا', 'O'), ('جوانان', 'O'), ('محور', 'O'), ('مقاومت', 'O'), ('را', 'O'), ('از', 'O'), ('جمهوری', 'B-organization'), ('اسلامی', 'I-organization'), ('که', 'O'), ('ستون', 'O'), ('خیمه', 'O'), ('مقاومت', 'O'), ('است', 'O'), ('جدا', 'O'), ('کنند', 'O'), ('تا', 'O'), ('با', 'O'), ('کنار', 'O'), ('رفت', 'O'), ('این', 'O'), ('ستون', 'O'), ('،', 'O'), ('تمام', 'O'), ('محور', 'O'), ('مقاومت', 'O'), ('فرو', 'O'), ('بریزد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 عضو کمیسیون امنیت‌ملی و سیاست‌خارجی مجلس از نشست اعضای این کمیسیون با وزیر امور خارجه درباره مذاکرات هسته‌ای وین خبر داد. ,"[[('[CLS]', 'O'), ('عضو', 'O'), ('کمیسیون', 'B-organization'), ('امنیتملی', 'I-organization'), ('و', 'I-organization'), ('سیاستخارجی', 'I-organization'), ('مجلس', 'I-organization'), ('از', 'O'), ('نشست', 'O'), ('اعضای', 'O'), ('این', 'O'), ('کمیسیون', 'O'), ('با', 'O'), ('وزیر', 'O'), ('امور', 'B-organization'), ('خارجه', 'I-organization'), ('درباره', 'O'), ('مذاکرات', 'O'), ('هستهای', 'O'), ('وین', 'B-location'), ('خبر', 'O'), ('داد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 خبرنگار تسنیم به جزییات بیشتری از هویت ضارب سه روحانی در حرم مطهر رضوی(ع) دست یافته است. ,"[[('[CLS]', 'O'), ('خبرنگار', 'O'), ('تسنیم', 'B-organization'), ('به', 'O'), ('جزییات', 'O'), ('بیشتری', 'O'), ('از', 'O'), ('هویت', 'O'), ('ضارب', 'O'), ('سه', 'O'), ('روحانی', 'O'), ('در', 'O'), ('حرم', 'B-location'), ('مطهر', 'O'), ('رضوی', 'I-location'), ('(', 'I-location'), ('ع', 'I-location'), (')', 'I-person'), ('دست', 'O'), ('یافته', 'O'), ('است', 'O'), ('.', 'O')]]"
 رئیس‌جمهور بر ضرورت کاهش سهم پرداختی بیمار از هزینه‌های درمان تأکید کرد و گفت: باید با تقویت پوشش‌های بیمه‌ای کاری کنیم که اگر فردی در خانواده‌ای بیمار شد، آن خانواده فقط دغدغه بیمار خود را داشته باشد و نگران هزینه‌‌ها نباشد. ,"[[('[CLS]', 'O'), ('ريیسجمهور', 'O'), ('بر', 'O'), ('ضرورت', 'O'), ('کاهش', 'O'), ('سهم', 'O'), ('پرداختی', 'O'), ('بیمار', 'O'), ('از', 'O'), ('هزینههای', 'O'), ('درمان', 'O'), ('تاکید', 'O'), ('کرد', 'O'), ('و', 'O'), ('گفت', 'O'), (':', 'O'), ('باید', 'O'), ('با', 'O'), ('تقویت', 'O'), ('پوششهای', 'O'), ('بیمهای', 'O'), ('کاری', 'O'), ('کنیم', 'O'), ('که', 'O'), ('اگر', 'O'), ('فردی', 'O'), ('در', 'O'), ('خانوادهای', 'O'), ('بیمار', 'O'), ('شد', 'O'), ('،', 'O'), ('ان', 'O'), ('خانواده', 'O'), ('فقط', 'O'), ('دغدغه', 'O'), ('بیمار', 'O'), ('خود', 'O'), ('را', 'O'), ('داشته', 'O'), ('باشد', 'O'), ('و', 'O'), ('نگران', 'O'), ('هزینهها', 'O'), ('نباشد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 اعضای کمیسیون اجتماعی مجلس، به منظور جلب نظر شورای نگهبان هفته آتی به رفع ایرادات طرح تغییر ساعت رسمی کشور می‌پردازند. ,"[[('[CLS]', 'O'), ('اعضای', 'O'), ('کمیسیون', 'B-organization'), ('اجتماعی', 'I-organization'), ('مجلس', 'I-organization'), ('،', 'O'), ('به', 'O'), ('منظور', 'O'), ('جلب', 'O'), ('نظر', 'O'), ('شورای', 'B-organization'), ('نگهبان', 'I-organization'), ('هفته', 'B-date'), ('اتی', 'O'), ('به', 'O'), ('رفع', 'O'), ('ایرادات', 'O'), ('طرح', 'O'), ('تغییر', 'O'), ('ساعت', 'O'), ('رسمی', 'O'), ('کشور', 'O'), ('میپردازند', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 سخنگوی ارتش جمهوری اسلامی ایران از برگزاری مراسم رژه روز ۲۹ فروردین به صورت خودرویی و با پرواز جنگنده‌های ایرانی بر فراز آسمان تهران خبر داد. ,"[[('[CLS]', 'O'), ('سخنگوی', 'O'), ('ارتش', 'B-organization'), ('جمهوری', 'I-organization'), ('اسلامی', 'I-organization'), ('ایران', 'I-organization'), ('از', 'O'), ('برگزاری', 'O'), ('مراسم', 'O'), ('رژه', 'O'), ('روز', 'B-date'), ('۲۹', 'I-date'), ('فروردین', 'I-date'), ('به', 'O'), ('صورت', 'O'), ('خودرویی', 'O'), ('و', 'O'), ('با', 'O'), ('پرواز', 'O'), ('جنگندههای', 'O'), ('ایرانی', 'O'), ('بر', 'O'), ('فراز', 'O'), ('اسمان', 'O'), ('تهران', 'B-location'), ('خبر', 'O'), ('داد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 رسیدگی به گزارش کمیسیون آئین نامه داخلی مجلس درباره طرح شفافیت آرای نمایندگان و طرح ساماندهی کارکنان دولت در دستور کار هفته جاری جلسه علنی مجلس شورای اسلامی قرار دارد. ,"[[('[CLS]', 'O'), ('رسیدگی', 'O'), ('به', 'O'), ('گزارش', 'O'), ('کمیسیون', 'B-organization'), ('ايین', 'I-organization'), ('نامه', 'I-organization'), ('داخلی', 'I-organization'), ('مجلس', 'I-organization'), ('درباره', 'O'), ('طرح', 'O'), ('شفافیت', 'O'), ('ارای', 'O'), ('نمایندگان', 'O'), ('و', 'O'), ('طرح', 'O'), ('ساماندهی', 'O'), ('کارکنان', 'O'), ('دولت', 'O'), ('در', 'O'), ('دستور', 'O'), ('کار', 'O'), ('هفته', 'B-date'), ('جاری', 'I-date'), ('جلسه', 'O'), ('علنی', 'O'), ('مجلس', 'B-organization'), ('شورای', 'I-organization'), ('اسلامی', 'I-organization'), ('قرار', 'O'), ('دارد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 بررسی پیامدهای حذف ارز ترجیحی دارو و تجهیزات پزشکی و راهکارهای کاهش هزینه پرداختی از جیب مردم در دستور کار کمیسیون‌های تخصصی مجلس شورای اسلامی در هفته جاری قرار دارد. ,"[[('[CLS]', 'O'), ('بررسی', 'O'), ('پیامدهای', 'O'), ('حذف', 'O'), ('ارز', 'O'), ('ترجیحی', 'O'), ('دارو', 'O'), ('و', 'O'), ('تجهیزات', 'O'), ('پزشکی', 'O'), ('و', 'O'), ('راهکارهای', 'O'), ('کاهش', 'O'), ('هزینه', 'O'), ('پرداختی', 'O'), ('از', 'O'), ('جیب', 'O'), ('مردم', 'O'), ('در', 'O'), ('دستور', 'O'), ('کار', 'O'), ('کمیسیونهای', 'O'), ('تخصصی', 'O'), ('مجلس', 'B-organization'), ('شورای', 'I-organization'), ('اسلامی', 'I-organization'), ('در', 'O'), ('هفته', 'B-date'), ('جاری', 'I-date'), ('قرار', 'O'), ('دارد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 رئیس کمیسیون صنایع مجلس از تشکیل کاگروهی مشترکی در مجلس برای بررسی طرح الزام دولت به فعالسازی دیپلماسی اقتصادی ، خبر داد. ,"[[('[CLS]', 'O'), ('ريیس', 'O'), ('کمیسیون', 'B-organization'), ('صنایع', 'I-organization'), ('مجلس', 'I-organization'), ('از', 'O'), ('تشکیل', 'O'), ('کاگ', 'O'), ('##روه', 'O'), ('##ی', 'O'), ('مشترکی', 'O'), ('در', 'O'), ('مجلس', 'O'), ('برای', 'O'), ('بررسی', 'O'), ('طرح', 'O'), ('الزام', 'O'), ('دولت', 'O'), ('به', 'O'), ('فعالسازی', 'O'), ('دیپلماسی', 'O'), ('اقتصادی', 'O'), ('،', 'O'), ('خبر', 'O'), ('داد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
